name,latitude,longitude,country,code
Pyongyang Sunan International Airport,39.224098,125.669998,KP,FNJ
Lanzhou Zhongchuan International Airport,36.515202,103.620003,CN,LHW
Xi'an Xianyang International Airport,34.447102,108.751999,CN,XIY
Ulaanbaatar Chinggis Khaan International Airport,47.646916,106.819833,MN,UBN
Kunming Changshui International Airport,25.110313,102.936743,CN,KMG
Xiamen Gaoqi International Airport,24.54400063,118.1279984,CN,XMN
Nanchang Changbei International Airport,28.864815,115.90271,CN,KHN
Fuzhou Changle International Airport,25.934669,119.66318,CN,FOC
Hangzhou Xiaoshan International Airport,30.23609,120.428865,CN,HGH
Jinan Yaoqiang International Airport,36.857201,117.216003,CN,TNA
Ningbo Lishe International Airport,29.82670021,121.461998,CN,NGB
Nanjing Lukou International Airport,31.735032,118.865949,CN,NKG
Shanghai Pudong International Airport,31.1434,121.805,CN,PVG
Qingdao Jiaodong International Airport,36.361953,120.088171,CN,TAO
Shanghai Hongqiao International Airport,31.198104,121.33426,CN,SHA
Wenzhou Longwan International Airport,27.910572,120.853465,CN,WNZ
Yantai Penglai International Airport,37.659724,120.978124,CN,YNT
Chongqing Jiangbei International Airport,29.712254,106.651895,CN,CKG
Guiyang Longdongbao International Airport,26.541466,106.803331,CN,KWE
Chengdu Tianfu International Airport,30.31252,104.441284,CN,TFU
Chengdu Shuangliu International Airport,30.558257,103.945966,CN,CTU
Ürümqi Diwopu International Airport,43.90710068,87.47419739,CN,URC
Changchun Longjia International Airport,43.996201,125.684998,CN,CGQ
Harbin Taiping International Airport,45.623402,126.25,CN,HRB
Dalian Zhoushuizi International Airport,38.965719,121.538477,CN,DLC
Shenyang Taoxian International Airport,41.639801,123.483002,CN,SHE
